Symbol,Weight (%),Date
LLY,27.44522174582177,2024-12-06
PWR,17.721085078398822,2024-12-06
MCK,10.773599000601651,2024-12-06
GIS,9.534998448948471,2024-12-06
ENPH,7.740406068392374,2024-12-06
MRNA,7.4696322592565,2024-12-06
CMG,6.845847975561073,2024-12-06
TSLA,6.108027345241618,2024-12-06
NVDA,5.6674694232086145,2024-12-06
PGR,0.693712654569607,2024-12-06
