Symbol,Weight (%),Date
LLY,27.515314667519213,2024-12-09
PWR,17.774133640373847,2024-12-09
MCK,10.698518979808984,2024-12-09
GIS,9.437873828402697,2024-12-09
ENPH,7.71412438411044,2024-12-09
MRNA,7.474624953390567,2024-12-09
CMG,6.9210647582135785,2024-12-09
TSLA,6.089887728640027,2024-12-09
NVDA,5.526111680212456,2024-12-09
PGR,0.578607865525879,2024-12-09
LRCX,0.26973751380277505,2024-12-09
